generation;solution;fitness
1;11,24,13,12,16,25,21,9,1,7,6,0,5,2,3,15,8,17,10,18,4,22,14,19,23,20;-1390
1;11,10,8,2,1,22,25,9,21,12,0,3,23,17,19,14,15,4,7,20,6,13,5,16,18,24;-1454
1;3,7,5,22,18,13,8,12,24,15,16,21,25,11,1,6,10,14,19,2,4,17,23,9,20,0;-1485
1;13,18,20,17,24,2,25,0,7,8,6,21,23,16,12,14,15,19,22,1,5,9,10,3,4,11;-1494
1;4,3,25,14,6,7,24,22,17,16,19,23,20,15,2,21,0,9,11,18,12,5,10,13,8,1;-1498
1;12,21,0,9,7,25,20,23,3,8,2,14,11,6,10,1,5,17,4,15,19,16,22,13,18,24;-1524
1;23,24,7,22,20,18,13,8,11,0,15,1,16,14,12,25,2,5,4,9,17,19,21,6,10,3;-1530
1;16,3,0,4,10,19,18,23,5,2,13,12,22,15,20,11,9,24,8,6,17,7,1,21,14,25;-1543
1;17,18,7,5,20,23,25,12,9,11,6,21,14,3,24,16,19,10,0,1,15,13,8,4,22,2;-1557
1;19,8,23,22,16,18,9,13,11,20,24,12,21,14,0,10,2,4,6,1,25,17,5,7,15,3;-1560
1;18,17,22,2,10,0,3,5,1,15,6,11,14,21,13,8,16,25,4,23,20,24,19,12,9,7;-1572
1;20,12,24,2,3,11,18,25,21,19,5,22,0,1,8,10,9,6,4,23,17,15,16,13,7,14;-1581
1;4,8,21,22,0,12,18,13,19,17,6,5,7,2,15,3,14,20,25,23,1,16,11,10,24,9;-1588
1;23,3,14,9,20,18,4,13,24,12,25,21,15,11,1,16,19,7,8,6,22,10,17,5,0,2;-1591
1;6,16,21,22,13,18,25,19,12,24,4,14,0,23,17,2,8,7,15,5,1,9,20,3,10,11;-1597
1;1,17,18,21,11,9,22,5,4,8,23,24,6,16,25,0,2,3,14,12,19,20,7,10,13,15;-1602
1;2,24,14,3,9,5,6,1,23,25,15,0,16,20,19,12,7,13,4,11,8,21,17,22,10,18;-1602
1;22,1,7,6,11,0,24,21,20,2,25,16,18,10,9,12,3,4,8,5,19,17,15,23,14,13;-1605
1;2,8,21,23,5,3,11,0,25,17,6,18,20,16,13,22,14,7,12,19,9,24,10,1,4,15;-1608
1;3,18,23,10,5,12,13,16,20,14,21,4,22,17,19,8,15,24,25,6,0,11,1,7,9,2;-1610
1;6,19,3,13,14,18,1,21,17,20,25,16,9,22,11,12,2,8,0,4,10,23,24,7,5,15;-1636
1;7,16,5,4,13,18,1,17,22,8,20,9,24,25,6,14,21,23,2,12,19,3,10,11,15,0;-1652
1;20,13,24,9,12,0,25,21,19,3,10,5,2,23,4,6,8,16,11,22,15,18,17,14,7,1;-1658
1;16,2,5,10,24,8,18,20,3,9,15,13,17,0,14,4,22,11,6,25,21,1,7,12,23,19;-1660
1;4,13,3,11,2,25,23,9,10,24,8,7,20,5,22,12,14,6,17,15,21,18,16,19,1,0;-1662
1;14,19,15,2,13,12,4,11,24,18,8,20,21,0,10,16,6,9,23,1,3,25,22,7,5,17;-1662
1;1,0,7,23,8,15,24,14,11,5,3,17,10,6,2,18,25,19,16,13,22,9,4,20,21,12;-1666
1;3,13,19,0,2,12,23,24,11,21,8,10,25,18,22,20,4,5,14,1,9,17,7,15,16,6;-1673
1;23,2,25,1,5,11,14,4,3,8,9,20,0,7,17,18,21,19,15,6,10,12,16,22,24,13;-1680
1;17,24,18,8,0,1,23,20,3,6,21,19,2,12,15,4,7,22,9,14,25,11,10,5,13,16;-1683
1;20,12,1,3,4,5,18,19,8,11,24,17,25,7,0,10,9,13,21,23,15,22,2,14,6,16;-1693
1;8,4,12,3,23,6,22,21,1,7,2,0,9,13,14,5,24,18,17,16,20,11,15,25,10,19;-1695
1;4,13,19,9,20,5,11,8,24,15,2,18,3,14,17,21,10,22,0,1,12,16,6,25,23,7;-1698
1;24,6,7,20,19,8,13,0,17,15,18,14,4,2,12,1,21,25,23,22,3,11,5,16,10,9;-1699
1;7,1,2,25,24,17,9,13,11,5,0,18,14,6,16,15,19,21,8,4,10,22,20,3,12,23;-1703
1;25,24,16,9,2,14,8,4,7,17,13,6,5,0,20,23,19,18,22,1,11,10,21,15,3,12;-1706
1;22,2,1,9,17,8,11,23,20,0,10,16,25,21,19,12,4,18,14,24,3,5,13,6,7,15;-1710
1;20,9,21,2,10,14,5,16,3,0,15,19,17,12,8,22,1,4,7,18,25,6,13,24,11,23;-1712
1;8,3,5,20,0,12,23,17,21,9,25,4,22,1,6,11,14,16,15,10,24,13,7,18,19,2;-1714
1;2,9,14,13,8,4,5,7,19,16,20,1,24,10,12,3,17,15,21,0,25,22,18,23,6,11;-1716
1;23,2,6,10,17,19,15,7,18,16,3,25,21,5,1,11,14,4,0,20,12,8,9,22,24,13;-1726
1;17,15,11,20,7,19,24,12,21,13,3,9,1,0,14,25,16,4,5,23,10,8,2,18,22,6;-1726
1;7,18,10,22,11,20,9,14,13,4,24,12,21,8,3,6,16,5,17,1,19,0,15,25,23,2;-1731
