generation;solution;fitness
1;22,14,9,25,17,7,20,23,2,3,1,12,11,24,18,13,10,5,19,21,16,4,8,6,0,15;-1342
1;4,8,0,9,19,7,18,24,5,12,15,11,13,25,20,23,16,3,22,17,14,1,21,2,6,10;-1438
1;0,2,12,6,4,9,8,24,22,7,15,23,25,10,18,14,3,11,20,13,5,16,21,19,17,1;-1503
1;3,2,13,4,7,19,1,8,24,15,25,23,12,5,6,16,17,20,18,9,10,11,14,0,22,21;-1503
1;6,1,9,21,8,14,7,19,25,3,11,24,23,18,12,22,17,0,2,5,16,20,15,13,4,10;-1513
1;16,17,14,10,11,25,4,8,9,20,1,5,6,3,13,15,23,21,19,7,18,12,24,0,22,2;-1518
1;19,8,15,24,4,25,22,2,14,17,23,5,1,9,16,20,10,7,21,12,3,0,18,13,11,6;-1546
1;21,25,14,15,3,6,5,23,11,24,19,9,0,4,16,7,13,10,22,20,17,8,2,1,18,12;-1562
1;24,14,12,22,19,10,8,0,17,23,15,2,13,5,1,11,4,6,7,16,3,25,18,9,21,20;-1564
1;18,4,2,1,0,16,11,22,25,14,9,13,24,19,23,10,6,5,15,3,12,7,8,20,17,21;-1576
1;18,13,9,24,3,22,20,14,21,17,19,10,12,15,0,4,23,6,8,2,5,16,1,7,25,11;-1585
1;22,20,15,13,11,25,2,6,21,1,5,7,19,24,3,4,0,14,23,12,18,9,16,10,17,8;-1589
1;16,25,24,14,7,0,10,19,18,9,6,12,2,23,11,1,3,17,5,8,4,13,15,21,22,20;-1590
1;13,16,6,19,12,11,10,4,24,20,25,22,5,23,21,2,1,15,14,17,0,3,7,18,9,8;-1605
1;10,14,21,9,25,4,0,1,13,18,20,15,24,7,12,2,3,5,8,11,23,16,17,6,19,22;-1606
1;12,6,9,20,21,3,11,15,19,24,7,17,2,4,8,18,16,1,5,23,0,25,22,10,13,14;-1614
1;22,3,12,25,14,24,6,11,4,0,20,21,10,7,8,16,18,15,13,2,23,19,17,5,9,1;-1618
1;15,20,25,17,1,8,21,12,9,19,22,10,4,13,16,5,0,6,2,11,23,24,3,14,18,7;-1618
1;9,12,23,19,2,6,4,16,24,17,11,3,13,22,15,0,14,1,7,5,25,20,10,18,8,21;-1624
1;24,0,6,9,8,2,4,15,19,25,13,14,11,22,21,10,1,17,23,3,18,12,20,5,7,16;-1631
1;1,11,13,20,10,15,9,2,8,19,0,18,22,16,25,23,6,3,7,24,17,4,21,14,5,12;-1637
1;1,20,25,24,9,22,4,18,12,14,7,3,8,15,11,19,16,0,2,21,17,6,5,10,23,13;-1651
1;0,16,2,25,11,6,3,23,7,8,24,4,18,9,10,22,20,17,1,5,21,12,14,19,13,15;-1653
1;23,19,11,15,2,6,17,25,4,3,10,24,12,9,14,16,7,21,20,1,8,22,5,13,18,0;-1658
1;17,10,2,16,1,0,6,3,15,20,18,8,12,5,21,25,24,14,19,22,7,4,9,13,23,11;-1659
1;20,9,21,6,13,12,16,18,24,0,22,14,19,25,1,17,7,5,11,2,10,4,15,23,8,3;-1661
1;16,22,18,17,11,15,9,23,19,1,10,13,12,6,24,25,7,2,20,0,8,21,4,3,5,14;-1661
1;8,2,5,15,18,11,24,9,3,1,4,23,13,14,6,0,22,12,20,21,7,10,25,19,16,17;-1661
1;23,2,0,8,9,20,11,21,13,1,10,7,17,19,24,18,15,16,22,4,3,25,6,5,12,14;-1663
1;4,24,17,13,14,0,8,9,18,16,23,5,7,19,1,12,15,3,10,2,21,25,22,6,20,11;-1671
1;17,7,12,10,0,11,4,18,9,23,14,22,20,21,13,1,25,8,19,24,15,16,6,3,2,5;-1675
1;21,25,20,3,2,18,7,17,19,6,22,16,1,11,12,4,15,10,23,24,0,13,5,8,9,14;-1680
1;24,6,0,20,22,4,12,14,23,1,17,10,3,13,25,9,18,11,15,19,16,2,8,21,5,7;-1684
1;4,17,1,14,5,2,8,19,13,15,22,18,7,6,3,10,12,0,20,21,25,11,23,9,24,16;-1692
1;21,16,25,7,24,12,13,23,14,11,2,5,8,1,20,15,18,17,19,6,4,22,9,3,0,10;-1693
1;3,16,23,18,20,11,4,9,25,5,19,13,6,2,15,17,24,21,10,0,14,22,1,7,12,8;-1699
1;12,6,13,18,20,22,17,23,8,5,21,16,4,10,7,2,15,14,11,19,24,0,3,25,1,9;-1701
1;23,24,0,25,1,9,8,2,16,22,20,21,18,15,7,19,12,10,13,11,4,17,6,5,14,3;-1706
1;8,18,23,25,24,3,1,14,0,17,15,11,5,12,6,21,4,10,9,19,16,2,7,13,22,20;-1715
1;2,9,13,0,8,24,22,11,19,3,25,21,12,18,5,17,4,7,14,6,15,10,23,16,1,20;-1727
1;2,22,8,16,13,9,3,0,18,11,14,7,23,6,20,24,19,5,21,25,10,15,4,12,17,1;-1728
1;16,1,13,21,19,25,5,2,12,3,18,4,14,23,10,22,15,8,11,17,7,9,24,0,6,20;-1739
1;13,1,2,7,5,20,25,11,9,19,15,18,14,23,12,24,4,22,8,3,16,17,6,21,10,0;-1740
1;11,15,22,13,0,4,14,1,20,8,21,9,16,23,25,3,7,18,10,12,24,19,5,6,17,2;-1747
1;18,9,20,6,19,25,24,3,12,13,0,15,17,10,11,14,21,16,23,8,2,22,1,4,7,5;-1754
1;6,16,8,15,12,18,7,14,9,13,10,21,3,2,24,4,1,25,5,17,23,0,11,22,20,19;-1758
1;23,10,2,0,22,24,6,20,7,5,11,12,21,1,4,25,3,13,17,14,15,8,16,19,9,18;-1759
1;14,23,25,12,2,8,5,19,4,7,1,24,6,11,21,18,16,3,15,10,17,20,9,0,22,13;-1761
1;5,19,21,1,20,16,22,0,6,13,23,9,14,10,25,2,8,12,4,3,18,24,7,15,11,17;-1761
1;12,1,10,24,18,5,23,22,8,3,21,7,2,14,20,4,9,6,15,11,25,19,16,0,17,13;-1764
1;6,25,10,11,16,1,21,15,9,18,3,14,13,2,4,12,23,8,19,20,22,24,17,5,0,7;-1773
1;13,4,8,21,24,10,14,23,16,12,2,0,18,19,1,15,6,17,11,5,25,3,7,22,9,20;-1775
1;19,4,11,6,23,8,5,12,9,1,0,3,25,16,14,15,7,10,22,2,21,18,24,17,13,20;-1793
1;4,15,0,3,19,2,22,1,21,18,10,7,23,8,20,13,9,14,5,6,16,17,12,25,11,24;-1793
1;0,18,20,9,8,25,5,21,7,10,13,3,4,19,23,14,11,2,16,24,12,6,1,15,22,17;-1797
1;23,22,21,5,2,18,3,11,15,12,1,7,13,0,19,10,24,14,25,20,9,16,4,6,17,8;-1809
1;5,21,6,16,13,10,4,11,23,9,19,0,7,3,22,1,17,14,15,25,2,8,12,20,24,18;-1812
1;13,23,18,3,20,19,17,7,15,16,21,9,0,22,10,6,11,24,14,4,12,8,2,1,25,5;-1818
1;25,19,4,14,9,15,20,22,24,8,17,18,6,12,7,16,10,23,11,3,2,1,21,0,5,13;-1819
1;17,18,0,9,15,5,10,1,21,4,23,16,7,11,2,3,20,25,12,19,24,13,14,8,6,22;-1821
1;20,17,3,2,7,21,14,11,16,15,22,12,4,24,1,13,5,19,0,9,10,6,18,8,25,23;-1829
1;7,20,4,9,16,18,3,10,19,2,13,11,0,23,15,5,6,1,21,17,8,14,12,22,25,24;-1833
1;0,2,24,6,14,4,18,5,25,16,22,10,12,13,9,11,7,23,1,3,8,17,21,20,15,19;-1834
1;19,4,11,17,8,7,16,18,0,21,10,1,3,6,15,12,13,24,9,25,5,14,2,22,20,23;-1839
1;3,14,15,2,12,9,7,11,16,18,13,22,23,6,8,17,24,21,25,10,4,1,20,5,0,19;-1840
1;16,9,4,15,20,5,1,21,7,22,6,10,24,25,3,12,13,23,19,2,8,17,11,18,14,0;-1840
1;12,22,24,3,23,0,5,25,6,21,10,19,16,20,9,11,17,14,1,2,15,4,18,7,13,8;-1842
1;24,1,13,10,11,3,5,15,8,0,23,4,14,25,7,17,21,9,18,6,19,20,2,16,22,12;-1844
1;8,18,19,0,25,24,1,22,17,5,13,11,3,14,12,21,6,7,4,23,9,10,2,16,20,15;-1845
1;15,7,0,18,3,13,23,14,6,10,5,2,24,25,4,9,16,22,19,11,1,12,8,17,21,20;-1849
1;3,14,8,16,2,25,21,23,12,5,11,13,19,15,20,10,24,1,0,17,7,18,6,4,22,9;-1851
1;23,18,1,6,0,3,15,17,10,12,14,21,2,24,7,20,22,8,19,16,4,9,11,25,5,13;-1855
1;19,14,11,21,12,15,3,1,0,16,6,10,18,5,2,9,20,25,22,7,4,23,13,24,17,8;-1857
1;17,18,23,10,12,20,5,0,9,13,16,8,6,4,21,3,1,22,2,15,24,7,19,25,11,14;-1859
1;25,12,18,7,2,3,10,9,19,1,14,20,16,15,23,6,4,13,5,22,17,8,24,0,21,11;-1860
1;4,20,5,9,22,2,18,3,19,7,6,13,16,8,24,23,11,1,10,0,15,12,14,21,17,25;-1861
1;17,1,11,8,23,15,24,5,2,16,14,6,4,21,3,12,22,13,19,18,20,25,9,10,7,0;-1869
1;11,25,23,16,10,8,17,9,13,14,3,21,2,4,19,15,24,7,20,1,12,22,0,5,6,18;-1874
1;11,15,13,12,22,9,0,19,17,7,5,10,1,25,8,20,6,21,4,16,24,18,23,3,14,2;-1876
1;13,7,4,1,16,0,23,18,21,14,8,15,20,10,22,3,25,11,5,9,24,6,2,17,19,12;-1881
1;23,5,16,13,11,17,18,14,9,12,24,6,4,25,8,0,19,3,1,20,10,2,21,22,15,7;-1882
1;18,14,21,20,16,3,25,11,6,10,9,12,15,4,5,7,8,24,2,17,13,23,19,0,22,1;-1887
1;16,25,7,3,8,17,4,18,23,10,21,9,14,6,1,0,20,15,11,13,19,2,22,5,12,24;-1892
1;12,5,22,9,20,18,6,8,7,3,4,16,11,13,17,14,1,19,24,15,21,2,23,0,25,10;-1894
1;22,1,2,14,19,13,8,16,6,9,15,21,18,17,7,23,3,0,11,25,4,20,5,10,12,24;-1895
1;4,21,19,24,6,14,13,16,11,5,0,3,15,25,9,12,18,17,20,8,23,7,10,1,22,2;-1913
1;17,4,24,16,3,19,12,2,14,1,20,5,8,10,22,23,0,15,18,25,6,9,21,7,11,13;-1915
1;8,19,13,12,1,2,25,9,0,14,11,17,7,23,16,20,21,10,4,6,24,5,18,15,3,22;-1916
1;9,18,24,13,14,19,20,3,6,15,12,22,1,11,16,7,2,25,10,5,17,0,8,21,4,23;-1925
1;24,21,5,3,23,1,6,17,4,20,12,9,15,22,2,25,13,10,16,14,11,18,19,0,7,8;-1927
1;9,13,1,15,21,0,23,3,8,16,20,10,18,11,22,2,24,6,12,5,7,17,14,19,4,25;-1947
1;21,9,4,10,16,7,22,12,5,17,8,20,3,18,11,0,1,13,19,14,2,24,23,6,25,15;-1952
1;11,15,16,6,9,19,18,0,25,14,4,7,8,21,24,22,1,12,10,3,13,23,2,17,5,20;-1953
1;0,19,15,8,25,9,20,16,18,17,3,6,23,2,22,5,1,24,7,14,13,21,10,12,11,4;-1961
1;2,11,18,25,5,0,9,21,4,16,17,8,20,10,19,7,6,15,1,22,12,23,3,13,14,24;-1968
1;18,11,0,24,17,10,14,15,1,20,6,9,22,19,12,16,2,7,13,21,4,8,23,3,5,25;-1972
1;12,3,7,15,8,23,4,6,25,1,10,5,21,9,14,13,22,0,19,20,17,24,2,16,18,11;-2009
1;19,12,14,21,5,15,25,13,2,17,24,6,16,8,23,9,3,7,11,18,10,1,22,0,20,4;-2031
1;5,21,11,1,15,19,13,24,6,23,2,16,22,3,20,7,8,25,18,12,0,10,17,14,9,4;-2065
1;23,17,25,3,22,1,21,8,19,7,18,6,10,12,2,16,13,14,20,11,4,24,5,15,9,0;-2076
2;22,14,9,25,17,7,20,23,2,3,1,12,11,24,18,13,10,5,19,21,16,4,8,6,0,15;-1342
2;4,8,0,9,19,7,18,24,5,12,15,11,13,25,20,23,16,3,22,17,14,1,21,2,6,10;-1438
2;0,2,12,6,4,9,8,24,22,7,15,23,25,10,18,14,3,11,20,13,5,16,21,19,17,1;-1503
2;3,2,13,4,7,19,1,8,24,15,25,23,12,5,6,16,17,20,18,9,10,11,14,0,22,21;-1503
2;6,1,9,21,8,14,7,19,25,3,11,24,23,18,12,22,17,0,2,5,16,20,15,13,4,10;-1513
2;16,17,14,10,11,25,4,8,9,20,1,5,6,3,13,15,23,21,19,7,18,12,24,0,22,2;-1518
2;19,8,15,24,4,25,22,2,14,17,23,5,1,9,16,20,10,7,21,12,3,0,18,13,11,6;-1546
2;21,25,14,15,3,6,5,23,11,24,19,9,0,4,16,7,13,10,22,20,17,8,2,1,18,12;-1562
2;24,14,12,22,19,10,8,0,17,23,15,2,13,5,1,11,4,6,7,16,3,25,18,9,21,20;-1564
2;18,4,2,1,0,16,11,22,25,14,9,13,24,19,23,10,6,5,15,3,12,7,8,20,17,21;-1576
2;18,13,9,24,3,22,20,14,21,17,19,10,12,15,0,4,23,6,8,2,5,16,1,7,25,11;-1585
2;22,20,15,13,11,25,2,6,21,1,5,7,19,24,3,4,0,14,23,12,18,9,16,10,17,8;-1589
2;16,25,24,14,7,0,10,19,18,9,6,12,2,23,11,1,3,17,5,8,4,13,15,21,22,20;-1590
2;13,16,6,19,12,11,10,4,24,20,25,22,5,23,21,2,1,15,14,17,0,3,7,18,9,8;-1605
2;10,14,21,9,25,4,0,1,13,18,20,15,24,7,12,2,3,5,8,11,23,16,17,6,19,22;-1606
2;12,6,9,20,21,3,11,15,19,24,7,17,2,4,8,18,16,1,5,23,0,25,22,10,13,14;-1614
2;22,3,12,25,14,24,6,11,4,0,20,21,10,7,8,16,18,15,13,2,23,19,17,5,9,1;-1618
2;15,20,25,17,1,8,21,12,9,19,22,10,4,13,16,5,0,6,2,11,23,24,3,14,18,7;-1618
2;9,12,23,19,2,6,4,16,24,17,11,3,13,22,15,0,14,1,7,5,25,20,10,18,8,21;-1624
2;24,0,6,9,8,2,4,15,19,25,13,14,11,22,21,10,1,17,23,3,18,12,20,5,7,16;-1631
2;1,11,13,20,10,15,9,2,8,19,0,18,22,16,25,23,6,3,7,24,17,4,21,14,5,12;-1637
2;1,20,25,24,9,22,4,18,12,14,7,3,8,15,11,19,16,0,2,21,17,6,5,10,23,13;-1651
2;0,16,2,25,11,6,3,23,7,8,24,4,18,9,10,22,20,17,1,5,21,12,14,19,13,15;-1653
2;23,19,11,15,2,6,17,25,4,3,10,24,12,9,14,16,7,21,20,1,8,22,5,13,18,0;-1658
2;17,10,2,16,1,0,6,3,15,20,18,8,12,5,21,25,24,14,19,22,7,4,9,13,23,11;-1659
2;20,9,21,6,13,12,16,18,24,0,22,14,19,25,1,17,7,5,11,2,10,4,15,23,8,3;-1661
2;16,22,18,17,11,15,9,23,19,1,10,13,12,6,24,25,7,2,20,0,8,21,4,3,5,14;-1661
2;8,2,5,15,18,11,24,9,3,1,4,23,13,14,6,0,22,12,20,21,7,10,25,19,16,17;-1661
2;23,2,0,8,9,20,11,21,13,1,10,7,17,19,24,18,15,16,22,4,3,25,6,5,12,14;-1663
2;4,24,17,13,14,0,8,9,18,16,23,5,7,19,1,12,15,3,10,2,21,25,22,6,20,11;-1671
2;17,7,12,10,0,11,4,18,9,23,14,22,20,21,13,1,25,8,19,24,15,16,6,3,2,5;-1675
2;21,25,20,3,2,18,7,17,19,6,22,16,1,11,12,4,15,10,23,24,0,13,5,8,9,14;-1680
2;24,6,0,20,22,4,12,14,23,1,17,10,3,13,25,9,18,11,15,19,16,2,8,21,5,7;-1684
2;4,17,1,14,5,2,8,19,13,15,22,18,7,6,3,10,12,0,20,21,25,11,23,9,24,16;-1692
2;21,16,25,7,24,12,13,23,14,11,2,5,8,1,20,15,18,17,19,6,4,22,9,3,0,10;-1693
2;3,16,23,18,20,11,4,9,25,5,19,13,6,2,15,17,24,21,10,0,14,22,1,7,12,8;-1699
2;12,6,13,18,20,22,17,23,8,5,21,16,4,10,7,2,15,14,11,19,24,0,3,25,1,9;-1701
2;23,24,0,25,1,9,8,2,16,22,20,21,18,15,7,19,12,10,13,11,4,17,6,5,14,3;-1706
2;8,18,23,25,24,3,1,14,0,17,15,11,5,12,6,21,4,10,9,19,16,2,7,13,22,20;-1715
2;2,9,13,0,8,24,22,11,19,3,25,21,12,18,5,17,4,7,14,6,15,10,23,16,1,20;-1727
2;2,22,8,16,13,9,3,0,18,11,14,7,23,6,20,24,19,5,21,25,10,15,4,12,17,1;-1728
2;16,1,13,21,19,25,5,2,12,3,18,4,14,23,10,22,15,8,11,17,7,9,24,0,6,20;-1739
2;13,1,2,7,5,20,25,11,9,19,15,18,14,23,12,24,4,22,8,3,16,17,6,21,10,0;-1740
2;11,15,22,13,0,4,14,1,20,8,21,9,16,23,25,3,7,18,10,12,24,19,5,6,17,2;-1747
2;18,9,20,6,19,25,24,3,12,13,0,15,17,10,11,14,21,16,23,8,2,22,1,4,7,5;-1754
2;6,16,8,15,12,18,7,14,9,13,10,21,3,2,24,4,1,25,5,17,23,0,11,22,20,19;-1758
2;23,10,2,0,22,24,6,20,7,5,11,12,21,1,4,25,3,13,17,14,15,8,16,19,9,18;-1759
2;14,23,25,12,2,8,5,19,4,7,1,24,6,11,21,18,16,3,15,10,17,20,9,0,22,13;-1761
2;5,19,21,1,20,16,22,0,6,13,23,9,14,10,25,2,8,12,4,3,18,24,7,15,11,17;-1761
2;12,1,10,24,18,5,23,22,8,3,21,7,2,14,20,4,9,6,15,11,25,19,16,0,17,13;-1764
2;6,25,10,11,16,1,21,15,9,18,3,14,13,2,4,12,23,8,19,20,22,24,17,5,0,7;-1773
2;13,4,8,21,24,10,14,23,16,12,2,0,18,19,1,15,6,17,11,5,25,3,7,22,9,20;-1775
2;19,4,11,6,23,8,5,12,9,1,0,3,25,16,14,15,7,10,22,2,21,18,24,17,13,20;-1793
2;4,15,0,3,19,2,22,1,21,18,10,7,23,8,20,13,9,14,5,6,16,17,12,25,11,24;-1793
2;0,18,20,9,8,25,5,21,7,10,13,3,4,19,23,14,11,2,16,24,12,6,1,15,22,17;-1797
2;23,22,21,5,2,18,3,11,15,12,1,7,13,0,19,10,24,14,25,20,9,16,4,6,17,8;-1809
